iter	Passed	Remaining
0	2	250
1	4	238
2	7	237
3	9	225
4	11	218
5	13	212
6	15	210
7	18	213
8	21	213
9	23	212
10	26	210
11	28	207
12	30	204
13	32	201
14	35	199
15	37	196
16	39	194
17	41	191
18	44	188
19	46	186
20	48	183
21	51	181
22	53	178
23	55	175
24	57	173
25	60	171
26	62	168
27	64	166
28	67	164
29	69	162
30	71	159
31	73	157
32	76	154
33	78	152
34	81	150
35	83	147
36	85	145
37	88	143
38	90	141
39	92	138
40	94	136
41	95	131
42	97	129
43	100	127
44	103	126
45	105	124
46	107	121
47	109	118
48	111	116
49	113	113
50	116	111
51	118	109
52	120	106
53	122	104
54	124	101
55	126	99
56	129	97
57	131	95
58	133	92
59	136	90
60	138	88
61	140	86
62	142	83
63	144	81
64	146	78
65	148	76
66	150	74
67	152	71
68	154	69
69	156	66
70	158	64
71	160	62
72	162	60
73	164	57
74	167	55
75	169	53
76	171	51
77	173	48
78	175	46
79	177	44
80	179	42
81	181	39
82	183	37
83	186	35
84	188	33
85	191	31
86	193	28
87	195	26
88	198	24
89	200	22
90	202	20
91	204	17
92	206	15
93	208	13
94	210	11
95	212	8
96	215	6
97	217	4
98	220	2
99	222	0
