iter	Passed	Remaining
0	141	141849
1	144	71988
2	146	48669
3	148	37012
4	150	29972
5	152	25276
6	154	21957
7	156	19449
8	158	17491
9	160	15928
10	162	14648
11	165	13589
12	167	12694
13	169	11951
14	171	11276
15	173	10691
16	175	10175
17	178	9721
18	180	9320
19	182	8956
20	184	8622
21	187	8325
22	189	8047
23	191	7795
24	193	7562
25	196	7347
26	198	7151
27	200	6966
28	202	6789
29	205	6631
30	207	6481
31	209	6346
32	211	6210
33	214	6086
34	216	5968
35	218	5858
36	220	5750
37	223	5652
38	225	5563
39	228	5476
40	230	5397
41	233	5323
42	236	5259
43	239	5198
44	241	5125
45	244	5062
46	246	4997
47	249	4939
48	251	4879
49	253	4813
50	255	4753
51	257	4695
52	259	4637
53	262	4590
54	264	4537
55	266	4492
56	268	4444
57	270	4401
58	273	4357
59	275	4317
60	277	4271
61	279	4231
62	282	4194
63	283	4153
64	286	4115
65	288	4077
66	290	4045
67	292	4011
68	294	3978
69	297	3949
70	299	3918
71	301	3890
72	304	3861
73	306	3836
74	308	3810
75	311	3787
76	313	3761
77	316	3735
78	318	3713
79	320	3689
80	323	3666
81	325	3643
82	326	3610
83	329	3588
84	331	3568
85	333	3548
86	336	3526
87	338	3506
88	341	3493
89	345	3491
90	347	3469
91	349	3446
92	351	3423
93	352	3401
94	355	3383
95	357	3364
96	359	3345
97	361	3325
98	363	3308
99	365	3290
100	367	3275
101	370	3259
102	372	3243
103	374	3226
104	376	3211
105	379	3197
106	381	3182
107	383	3169
108	385	3154
109	388	3141
110	390	3128
111	392	3114
112	395	3100
113	397	3086
114	399	3074
115	401	3061
116	403	3044
117	405	3032
118	407	3018
119	409	3006
120	412	2993
121	414	2979
122	416	2970
123	418	2959
124	421	2947
125	423	2937
126	425	2925
127	427	2913
128	430	2906
129	432	2896
130	434	2883
131	436	2870
132	438	2858
133	440	2847
134	442	2836
135	444	2825
136	446	2813
137	448	2801
138	450	2792
139	452	2781
140	455	2772
141	456	2758
142	458	2748
143	460	2739
144	462	2729
145	465	2720
146	467	2710
147	469	2700
148	471	2691
149	473	2682
150	475	2674
151	477	2666
152	480	2660
153	482	2651
154	484	2643
155	487	2635
156	489	2628
157	491	2619
158	493	2611
159	495	2603
160	497	2592
161	499	2585
162	502	2580
163	504	2573
164	506	2565
165	508	2557
166	511	2549
167	513	2542
168	515	2535
169	517	2528
170	520	2521
171	522	2514
172	524	2508
173	527	2501
174	529	2495
175	531	2488
176	533	2482
177	535	2474
178	538	2468
179	540	2461
180	542	2455
181	544	2448
182	546	2441
183	549	2434
184	550	2426
185	552	2419
186	554	2411
187	556	2405
188	559	2400
189	561	2394
190	563	2387
191	565	2380
192	567	2373
193	570	2368
194	572	2361
195	574	2356
196	576	2349
197	578	2342
198	580	2335
199	582	2328
200	583	2321
201	585	2314
202	587	2308
203	589	2301
204	591	2294
205	593	2289
206	596	2283
207	598	2277
208	600	2271
209	602	2264
210	604	2259
211	606	2253
212	608	2247
213	610	2242
214	612	2235
215	614	2229
216	616	2224
217	618	2217
218	620	2212
219	622	2206
220	624	2200
221	626	2195
222	628	2190
223	631	2186
224	633	2181
225	635	2176
226	637	2171
227	639	2165
228	641	2160
229	643	2155
230	645	2149
231	647	2144
232	649	2138
233	651	2133
234	653	2127
235	655	2122
236	657	2117
237	659	2111
238	661	2106
239	663	2101
240	665	2096
241	668	2092
242	670	2088
243	672	2083
244	674	2079
245	677	2075
246	679	2071
247	681	2066
248	683	2060
249	685	2055
250	687	2050
251	689	2046
252	691	2041
253	693	2036
254	695	2031
255	697	2026
256	699	2021
257	701	2017
258	703	2013
259	705	2008
260	707	2004
261	709	1999
262	711	1995
263	714	1991
264	716	1987
265	718	1982
266	720	1978
267	722	1973
268	724	1969
269	726	1964
270	728	1960
271	730	1955
272	732	1951
273	734	1946
274	737	1943
275	740	1941
276	742	1938
277	744	1934
278	746	1930
279	749	1926
280	751	1921
281	753	1917
282	755	1913
283	757	1909
284	759	1905
285	761	1902
286	763	1897
287	765	1893
288	768	1889
289	770	1885
